name,country_provenance,national_team,career_goals,career_assists,career_appearances,club_goals,club_assists,club_appearances,international_goals,international_assists,international_appearances,clubs_with_years
Alexia Putellas,Spain,Spain,284,67,742,227,58,569,57,9,173,"RCD Espanyol (women) (2008-2010), RCD Espanyol (women) (2010-2011), Levante UD (women) (2011-2012), FC Barcelona Femení (2012-present)"
Sam Kerr,Australia,Australia,224,28,618,216,25,463,8,3,155,"Perth Glory FC (W-League) (2008-2011), Sydney FC (W-League) (2012-2014), Western New York Flash (2013-2014), Perth Glory FC (W-League) (2014-2019), Sky Blue FC (2015-2017), Chicago Stars (2018-2019), Chelsea F.C. Women (2020-present)"
Ada Hegerberg,Norway,Norway,385,52,517,307,45,384,78,7,133,"Kolbotn Fotball (2010-2011), Stabæk Fotball Kvinner (2012-2013), 1. FFC Turbine Potsdam (2013-2014), OL Lyonnes (2014-present)"
Wendie Renard,France,France,184,15,709,145,12,516,39,3,193,Olympique Lyonnais Féminin (2006-present)
Christine Sinclair,Canada,Canada,307,64,1173,278,54,790,29,10,383,"Vancouver UBC Alumni (1999-2001), Vancouver Angels (2000-present), Vancouver Whitecaps Women (2001-2002), Vancouver Whitecaps FC (women) (2006-2008), FC Gold Pride (2009-2010), Western New York Flash (2011-2012), Portland Thorns FC (2013-2024)"
Megan Rapinoe,USA,USA,242,73,713,170,55,489,72,18,224,"Chicago Red Stars (2009-2010), Philadelphia Independence (2011-present), MagicJack (WPS) (2011-present), Sydney FC (W-League) (2011-present), Seattle Sounders Women (2012-present), Olympique Lyonnais Féminin (2013-2014), OL Reign (2013-2023)"
Carli Lloyd,USA,USA,396,55,847,262,42,531,134,13,316,"USL W-League (1995–2015) (1999-present), USL W-League (1995–2015) (2000-present), South Jersey Banshees (2001-present), New Jersey Wildcats (2004-present), Chicago Red Stars (2009-present), NJ/NY Gotham FC (2010-present), Atlanta Beat (WPS) (2011-present), Western New York Flash (2013-2014), Houston Dash (2015-2017), → Manchester City W.F.C. (2017-present), NJ/NY Gotham FC (2018-2021)"
Vivianne Miedema,Netherlands,Netherlands,294,73,605,251,64,434,43,9,171,"SC Heerenveen (women) (2011-2014), FC Bayern Munich (women) (2014-2017), Arsenal W.F.C. (2017-2024), Manchester City W.F.C. (2024-present)"
Dzsenifer Marozsán,Germany,Germany,267,98,689,181,88,515,86,10,174,"1. FC Saarbrücken (women) (2007-2009), 1. FFC Frankfurt (2009-2016), Olympique Lyonnais Féminin (2016-2025), → OL Reign (loan) (2021-present), Al Qadsiah FC (women) (2025-present)"
Lieke Martens,Netherlands,Netherlands,303,38,721,215,32,510,88,6,211,"SC Heerenveen (women) (2009-2010), VVV-Venlo (women) (2010-2011), Standard Liège (women) (2011-2012), FCR 2001 Duisburg (2012-2014), Kopparbergs/Göteborg FC (2014-2015), FC Rosengård (2015-2017), FC Barcelona Femení (2017-2022), Paris Saint-Germain F.C. (women) (2022-2025)"
Lucy Bronze,England,England,71,42,644,50,35,462,21,7,182,"Sunderland A.F.C. Women (2007-2010), Everton F.C. (women) (2010-2012), Liverpool F.C. Women (2012-2014), Manchester City W.F.C. (2014-2017), Olympique Lyonnais Féminin (2017-2020), Manchester City W.F.C. (2020-2022), FC Barcelona Femení (2022-2024), Chelsea F.C. Women (2024-present)"
Rose Lavelle,USA,USA,98,19,428,71,14,312,27,5,116,"Dayton Dutch Lions (2014-present), Seattle Sounders Women (2015-present), Dayton Dutch Lions (2016-present), Boston Breakers (2017-present), Washington Spirit (2018-2020), Manchester City W.F.C. (2020-2021), Seattle Reign FC (2021-2023), Gotham FC (2024-present)"
Julie Ertz,USA,USA,78,12,423,58,9,300,20,3,123,"Chicago Red Stars (2014-2021), Angel City FC (2023-present)"
Tobin Heath,USA,USA,121,41,596,85,32,415,36,9,181,"New Jersey Wildcats (2004-2006), Hudson Valley Quickstrike Lady Blues (2007-present), Pali Blues (2009-present), Atlanta Beat (WPS) (2010-present), Sky Blue FC (2011-present), New York Fury (2012-present), Paris Saint-Germain Féminine (2013-2014), Portland Thorns FC (2013-2020), Manchester United W.F.C. (2020-2021), Arsenal W.F.C. (2021-2022), OL Reign (2022-present)"
Fran Kirby,England,England,180,57,350,160,50,267,20,7,83,"Reading F.C. Women (2012-2015), Chelsea L.F.C. (2015-2024), Brighton & Hove Albion W.F.C. (2024-present)"
Pernille Harder,Denmark,Denmark,424,78,707,321,68,499,103,10,208,"Team Viborg (2007-2010), IK Skovbakken (2010-2012), Linköpings FC (2012-2016), VfL Wolfsburg (women) (2017-2020), Chelsea F.C. Women (2020-2023), FC Bayern Munich (women) (2023-present)"
Alex Morgan,USA,USA,114,49,721,109,39,487,5,10,234,"West Coast FC (2008-2009), California Storm (2010-present), Pali Blues (2010-present), Western New York Flash (2011-present), Seattle Sounders Women (2012-present), Portland Thorns FC (2013-2015), Orlando Pride (2016-present), Olympique Lyonnais Féminin (2017-present), Orlando Pride (2017-2020), Tottenham Hotspur F.C. Women (2020-present), Orlando Pride (2021-present), San Diego Wave FC (2022-2024)"
Sophia Smith,USA,USA,158,18,274,113,16,191,45,2,83,Portland Thorns (2020-present)
Trinity Rodman,USA,USA,54,14,195,41,12,146,13,2,49,Washington Spirit (2021-present)
Lena Oberdorf,Germany,Germany,70,8,292,51,6,202,19,2,90,"SGS Essen (2018-2020), VfL Wolfsburg (women) (2020-2024), FC Bayern Munich (women) (2024-present)"
Millie Bright,England,England,30,5,457,24,4,348,6,1,109,"Doncaster Belles (2009-2014), → Leeds Ladies F.C. (2011-2012), Chelsea F.C. Women (2014-present)"
Mary Earps,England,England,0,0,399,0,0,318,0,0,81,"Leicester City W.F.C. (2009-2010), Nottingham Forest L.F.C. (2010-2011), Doncaster Rovers Belles L.F.C. (2011-2012), → Coventry United L.F.C. (2011-present), Birmingham City L.F.C. (2013-present), Bristol City W.F.C. (2014-2015), Reading F.C. Women (2016-2018), VfL Wolfsburg (women) (2018-2019), Manchester United W.F.C. (2019-2024), Paris Saint-Germain F.C. (women) (2024-present)"
Aitana Bonmatí,Spain,Spain,164,52,459,121,44,337,43,8,122,"FC Barcelona Femení B (2014-2016), FC Barcelona Femení (2016-present)"
Lena Goessling,Germany,Germany,109,38,621,82,33,466,27,5,155,"FC Gütersloh 2000 (2003-2006), SC 07 Bad Neuenahr (2006-2011), VfL Wolfsburg (women) (2011-2021)"
Selma Bacha,France,France,23,43,314,14,38,210,9,5,104,Olympique Lyonnais Féminin (2017-present)
